Timestamp,Event,Instrument,Hit_Depth,Confidence
1765553903090,Hit,Kick,0,1.0
1765553903393,Hit,Kick,0,1.0
1765553906460,Hit,Boom,0,1.0
1765553911488,Hit,Boom,0,1.0
1765553913957,Hit,Kick,0,1.0
1765553915724,Hit,Boom,0,1.0
1765553916794,Hit,Kick,0,1.0
1765553916924,Hit,Kick,0,1.0
1765553917058,Hit,Kick,0,1.0
1765553918122,Hit,Boom,0,1.0
1765553919820,Hit,Boom,0,1.0
1765553921987,NoteOff,Piano_B,0,0
1765553922280,NoteOn,Piano_B,241.0,1.0
1765553922582,NoteOff,Piano_B,0,0
1765553924513,NoteOn,Piano_A,244.0,1.0
1765553938045,NoteOff,Piano_A,0,0
1765553938512,NoteOn,Piano_A,260.0,1.0
1765553939078,NoteOff,Piano_A,0,0
1765553939278,NoteOn,Piano_A,294.0,1.0
1765553939512,NoteOff,Piano_A,0,0
1765553940312,NoteOn,Piano_A,283.0,1.0
1765553940712,NoteOff,Piano_A,0,0
1765553941012,NoteOn,Piano_A,0.0,1.0
1765553941478,NoteOff,Piano_A,0,0
1765553941709,NoteOn,Piano_B,234.0,1.0
1765553941743,NoteOff,Piano_B,0,0
1765553943043,NoteOn,Piano_A,265.0,1.0
1765553943144,NoteOff,Piano_A,0,0
Timestamp,Event,Instrument,Hit_Depth,Confidence
1765554592221,NoteOn,Piano_A,254.0,1.0
1765554593087,NoteOff,Piano_A,0,0
1765554593520,NoteOn,Piano_G,0.0,1.0
1765554594186,NoteOff,Piano_G,0,0
1765554594453,NoteOn,Piano_A,256.0,1.0
1765554594685,NoteOff,Piano_A,0,0
1765554785157,NoteOn,Piano_A,253.0,1.0
1765554785424,NoteOff,Piano_A,0,0
1765554790589,NoteOn,Piano_A,231.0,1.0
1765554791457,NoteOff,Piano_A,0,0
1765554791989,NoteOn,Piano_B,246.0,1.0
1765554792456,NoteOff,Piano_B,0,0
1765554792756,NoteOn,Piano_A,235.0,1.0
1765554792822,NoteOff,Piano_A,0,0
1765554793422,NoteOn,Piano_G,244.0,1.0
Timestamp,Event,Instrument,Hit_Depth,Confidence
1765555308464,NoteOn,Piano_G,258.0,1.0
1765555308629,NoteOff,Piano_G,0,0
1765555308831,NoteOn,Piano_G,258.0,1.0
1765555308896,NoteOff,Piano_G,0,0
1765555309461,NoteOn,Piano_G,258.0,1.0
1765555309560,NoteOn,Piano_A,260.0,1.0
1765555309695,NoteOff,Piano_G,0,0
1765555309695,NoteOff,Piano_A,0,0
Timestamp,Event,Instrument,Hit_Depth,Confidence
1765555496153,NoteOn,Piano_A,253.0,1.0
1765555500919,NoteOff,Piano_A,0,0
1765555501552,NoteOn,Piano_A,258.0,1.0
Timestamp,Event,Instrument,Hit_Depth,Confidence
1765555840514,NoteOn,Piano_A,245.0,1.0
1765555845343,NoteOff,Piano_A,0,0
1765555846091,NoteOn,Piano_A,252.0,1.0
